model,family,tier,title,year,item,set,lambda,lambda_z,rank,matches
GPT-5.4,OpenAI,Large,Cléo from 5 to 7,1962,Cléo from 5 to 7 (1962),B,0.2285,1.6670372139602752,27,337
GPT-5.4,OpenAI,Large,Pulp Fiction,1994,Pulp Fiction (1994),A,0.2214,1.61523800338369,28,364
GPT-5.4,OpenAI,Large,Woman in the Dunes,1964,Woman in the Dunes (1964),B,0.2006,1.4634882033846803,29,329
GPT-5.4,OpenAI,Large,The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King (2003),A,0.1609,1.1738503639634934,30,383
GPT-5.4,OpenAI,Large,Sansho the Bailiff,1954,Sansho the Bailiff (1954),B,0.1572,1.1468564091559774,31,346
GPT-5.4,OpenAI,Large,The Gleaners & I,2000,The Gleaners & I (2000),B,0.1571,1.1461268428098281,32,345
GPT-5.4,OpenAI,Large,Happy Together,1997,Happy Together (1997),B,0.1511,1.1023528620408831,33,241
GPT-5.4,OpenAI,Large,The Ascent,1977,The Ascent (1977),B,0.1461,1.065874544733429,34,381
GPT-5.4,OpenAI,Large,Where is the Friend's House?,1987,Where is the Friend's House? (1987),B,0.1459,1.0644154120411307,35,317
GPT-5.4,OpenAI,Large,Jaws,1975,Jaws (1975),A,0.1412,1.0301257937721235,36,308
GPT-5.4,OpenAI,Large,Terminator 2: Judgment Day,1991,Terminator 2: Judgment Day (1991),A,0.1351,0.9856222466570295,37,334
GPT-5.4,OpenAI,Large,All About My Mother,1999,All About My Mother (1999),B,0.1225,0.8936968870422448,38,346
GPT-5.4,OpenAI,Large,The Silence of the Lambs,1991,The Silence of the Lambs (1991),A,0.1192,0.869621197619325,39,330
GPT-5.4,OpenAI,Large,"Crouching Tiger, Hidden Dragon",2000,"Crouching Tiger, Hidden Dragon (2000)",A,0.1135,0.8280359158888272,40,252
GPT-5.4,OpenAI,Large,Your Name.,2016,Your Name. (2016),C,0.1128,0.8229289514657835,41,366
GPT-5.4,OpenAI,Large,The Social Network,2010,The Social Network (2010),A,0.1112,0.811255889927398,42,300
GPT-5.4,OpenAI,Large,Days of Being Wild,1990,Days of Being Wild (1990),B,0.1056,0.7704001745430494,43,350
GPT-5.4,OpenAI,Large,Cinema Paradiso,1988,Cinema Paradiso (1988),B,0.1009,0.7361105562740424,44,310
GPT-5.4,OpenAI,Large,Pyaasa,1957,Pyaasa (1957),B,0.1005,0.733192290889446,45,312
GPT-5.4,OpenAI,Large,Get Out,2017,Get Out (2017),A,0.0931,0.6792043812744137,46,345
GPT-5.4,OpenAI,Large,Nostalghia,1983,Nostalghia (1983),B,0.0919,0.6704495851206247,47,281
GPT-5.4,OpenAI,Large,Koyaanisqatsi,1982,Koyaanisqatsi (1982),B,0.0857,0.6252164716593814,48,353
GPT-5.4,OpenAI,Large,Shoah,1985,Shoah (1985),B,0.0845,0.6164616755055925,49,232
GPT-5.4,OpenAI,Large,Toy Story,1995,Toy Story (1995),A,0.0774,0.5646624649290074,50,356
GPT-5.4,OpenAI,Large,Schindler's List,1993,Schindler's List (1993),A,0.0773,0.5639328985828582,51,285
GPT-5.4,OpenAI,Large,Sans Soleil,1983,Sans Soleil (1983),B,0.0701,0.5114041216601242,52,263
GPT-5.4,OpenAI,Large,Coco,2017,Coco (2017),C,0.0691,0.5041084581986333,53,332
GPT-5.4,OpenAI,Large,The Dark Knight,2008,The Dark Knight (2008),A,0.0662,0.4829510341603098,54,235
GPT-5.4,OpenAI,Large,"Monsters, Inc.",2001,"Monsters, Inc. (2001)",C,0.0625,0.4559570793527937,55,267
GPT-5.4,OpenAI,Large,The Conformist,1970,The Conformist (1970),B,0.0531,0.3873778428147797,56,308
GPT-5.4,OpenAI,Large,Beau Travail,1999,Beau Travail (1999),B,0.0476,0.34725169377658005,57,227
GPT-5.4,OpenAI,Large,Shadows of Forgotten Ancestors,1965,Shadows of Forgotten Ancestors (1965),B,0.0464,0.338496897622791,58,345
GPT-5.4,OpenAI,Large,The Young Girls of Rochefort,1967,The Young Girls of Rochefort (1967),B,0.0384,0.2801315899308642,59,273
GPT-5.4,OpenAI,Large,Caché,2005,Caché (2005),B,0.0331,0.24146457358496265,60,213
GPT-5.4,OpenAI,Large,Taste of Cherry,1997,Taste of Cherry (1997),B,0.0304,0.22176628223893738,61,289
GPT-5.4,OpenAI,Large,E.T. The Extra-Terrestrial,1982,E.T. The Extra-Terrestrial (1982),A,0.028,0.20425668993135934,62,200
GPT-5.4,OpenAI,Large,The Thin Red Line,1998,The Thin Red Line (1998),B,0.0252,0.18382883223918495,63,252
GPT-5.4,OpenAI,Large,Oldboy,2003,Oldboy (2003),B,0.0247,0.18018100050843952,64,264
GPT-5.4,OpenAI,Large,Videodrome,1983,Videodrome (1983),B,0.0236,0.1721557707007996,65,276
GPT-5.4,OpenAI,Large,Zama,2017,Zama (2017),B,0.0226,0.16486010723930875,66,156
GPT-5.4,OpenAI,Large,Withnail & I,1987,Withnail & I (1987),B,0.0217,0.158294010123967,67,196
GPT-5.4,OpenAI,Large,Inglourious Basterds,2009,Inglourious Basterds (2009),A,0.021,0.1531870457009234,68,166
GPT-5.4,OpenAI,Large,Raise the Red Lantern,1991,Raise the Red Lantern (1991),B,0.0198,0.14443224954713438,69,187
GPT-5.4,OpenAI,Large,Inside Out,2015,Inside Out (2015),C,0.0161,0.11743829473961821,70,204
GPT-5.4,OpenAI,Large,Pickpocket,1959,Pickpocket (1959),B,0.0156,0.11379046300887279,71,163
GPT-5.4,OpenAI,Large,Crimes and Misdemeanors,1989,Crimes and Misdemeanors (1989),B,0.0153,0.11160176397042554,72,137
GPT-5.4,OpenAI,Large,Ocean's Eleven,2001,Ocean's Eleven (2001),C,0.0152,0.11087219762427646,73,168
GPT-5.4,OpenAI,Large,Se7en,1995,Se7en (1995),A,0.0149,0.10868349858582921,74,221
GPT-5.4,OpenAI,Large,"Aguirre, the Wrath of God",1972,"Aguirre, the Wrath of God (1972)",B,0.0148,0.10795393223968013,75,193
GPT-5.4,OpenAI,Large,The Seventh Seal,1957,The Seventh Seal (1957),B,0.0147,0.10722436589353103,76,203
GPT-5.4,OpenAI,Large,The Mummy,1999,The Mummy (1999),C,0.0146,0.10649479954738195,77,211
GPT-5.4,OpenAI,Large,Day for Night,1973,Day for Night (1973),B,0.0143,0.10430610050893468,78,207
GPT-5.4,OpenAI,Large,Los Olvidados,1950,Los Olvidados (1950),B,0.0142,0.10357653416278562,79,213
GPT-5.4,OpenAI,Large,Scenes from a Marriage,1973,Scenes from a Marriage (1973),B,0.0141,0.10284696781663652,80,174
GPT-5.4,OpenAI,Large,Reservoir Dogs,1992,Reservoir Dogs (1992),B,0.0125,0.09117390627825116,81,182
GPT-5.4,OpenAI,Large,Beauty and the Beast,1991,Beauty and the Beast (1991),C,0.0117,0.08533737550905848,82,182
GPT-5.4,OpenAI,Large,The Time to Live and the Time to Die,1985,The Time to Live and the Time to Die (1985),B,0.0112,0.08168954377831306,83,170
GPT-5.4,OpenAI,Large,The Colour of Pomegranates,1969,The Colour of Pomegranates (1969),B,0.0106,0.07731214570141855,84,151
GPT-5.4,OpenAI,Large,The Death of Mr. Lazarescu,2005,The Death of Mr. Lazarescu (2005),B,0.0106,0.07731214570141855,85,142
GPT-5.4,OpenAI,Large,The Fugitive,1993,The Fugitive (1993),C,0.0106,0.07731214570141855,86,176
GPT-5.4,OpenAI,Large,The Sixth Sense,1999,The Sixth Sense (1999),C,0.0086,0.06272081877843684,87,134
GPT-5.4,OpenAI,Large,Close Encounters of the Third Kind,1977,Close Encounters of the Third Kind (1977),A,0.0085,0.06199125243228776,88,187
GPT-5.4,OpenAI,Large,"Goodbye, Dragon Inn",2003,"Goodbye, Dragon Inn (2003)",B,0.0069,0.05031819089390238,89,153
GPT-5.4,OpenAI,Large,Apollo 13,1995,Apollo 13 (1995),C,0.0043,0.03134946589402617,90,145
GPT-5.4,OpenAI,Large,The Crowd,1928,The Crowd (1928),B,0.0024,0.017487705317193555,91,140
GPT-5.4,OpenAI,Large,Vivre sa vie,1962,Vivre sa vie (1962),B,0.0017,0.01238074089414996,92,191
GPT-5.4,OpenAI,Large,The Wind,1928,The Wind (1928),B,0.0006,0.004355511086510023,93,144
GPT-5.4,OpenAI,Large,Oppenheimer,2023,Oppenheimer (2023),C,0.0006,0.004355511086510023,94,150
GPT-5.4,OpenAI,Large,Home Alone,1990,Home Alone (1990),C,-0.0008,-0.005858417759577168,95,142
GPT-5.4,OpenAI,Large,Logan,2017,Logan (2017),C,-0.0028,-0.02044974468255887,96,143
GPT-5.4,OpenAI,Large,Kes,1969,Kes (1969),B,-0.003,-0.021908877374857038,97,133
GPT-5.4,OpenAI,Large,Once Upon a Time in America,1984,Once Upon a Time in America (1984),B,-0.0047,-0.034311505259391493,98,143
GPT-5.4,OpenAI,Large,Once Upon a Time... in Hollywood,2019,Once Upon a Time... in Hollywood (2019),A,-0.0055,-0.04014803602858417,99,142
GPT-5.4,OpenAI,Large,Breathless,1960,Breathless (1960),B,-0.0064,-0.04671413314392594,100,157
GPT-5.4,OpenAI,Large,The Spirit of the Beehive,1973,The Spirit of the Beehive (1973),B,-0.0074,-0.05400979660541679,101,192
GPT-5.4,OpenAI,Large,Batman,1989,Batman (1989),C,-0.0077,-0.056198495643864047,102,132
GPT-5.4,OpenAI,Large,If….,1968,If…. (1968),B,-0.0095,-0.06933068987454756,103,141
GPT-5.4,OpenAI,Large,Die Hard with a Vengeance,1995,Die Hard with a Vengeance (1995),C,-0.0111,-0.08100375141293294,104,139
GPT-5.4,OpenAI,Large,Senso,1954,Senso (1954),B,-0.0146,-0.10653857352815091,105,145
GPT-5.4,OpenAI,Large,Tarzan,1999,Tarzan (1999),C,-0.0178,-0.12988469660492163,106,142
GPT-5.4,OpenAI,Large,The Gold Rush,1925,The Gold Rush (1925),B,-0.0201,-0.1466647225663506,107,154
GPT-5.4,OpenAI,Large,La Belle et la Bête,1946,La Belle et la Bête (1946),B,-0.0204,-0.14885342160479786,108,135
GPT-5.4,OpenAI,Large,Ghostbusters,1984,Ghostbusters (1984),A,-0.0233,-0.17001084564312133,109,131
GPT-5.4,OpenAI,Large,Europa '51,1952,Europa '51 (1952),B,-0.0234,-0.17074041198927042,110,131
GPT-5.4,OpenAI,Large,Speed,1994,Speed (1994),C,-0.0257,-0.18752043795069936,111,139
GPT-5.4,OpenAI,Large,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train,2020,Demon Slayer: Kimetsu no Yaiba - The Movie: Mugen Train (2020),C,-0.0262,-0.1911682696814448,112,146
GPT-5.4,OpenAI,Large,Star Trek,2009,Star Trek (2009),C,-0.0284,-0.2072187292967247,113,140
GPT-5.4,OpenAI,Large,The Revenant,2015,The Revenant (2015),C,-0.0301,-0.2196213571812591,114,134
GPT-5.4,OpenAI,Large,Saving Private Ryan,1998,Saving Private Ryan (1998),A,-0.0305,-0.22253962256585544,115,148
GPT-5.4,OpenAI,Large,A Clockwork Orange,1971,A Clockwork Orange (1971),B,-0.0308,-0.22472832160430273,116,140
GPT-5.4,OpenAI,Large,Dances with Wolves,1990,Dances with Wolves (1990),C,-0.0317,-0.23129441871964446,117,149
GPT-5.4,OpenAI,Large,True Lies,1994,True Lies (1994),C,-0.034,-0.24807444468107345,118,153
GPT-5.4,OpenAI,Large,The Green Ray,1986,The Green Ray (1986),B,-0.036,-0.26266577160405513,119,150
GPT-5.4,OpenAI,Large,The Simpsons Movie,2007,The Simpsons Movie (2007),C,-0.0385,-0.28090493025778224,120,137
GPT-5.4,OpenAI,Large,The Exorcist,1973,The Exorcist (1973),A,-0.04,-0.29184842545001854,121,155
GPT-5.4,OpenAI,Large,Twister,1996,Twister (1996),C,-0.0402,-0.2933075581423167,122,132
GPT-5.4,OpenAI,Large,A.I. Artificial Intelligence,2001,A.I. Artificial Intelligence (2001),A,-0.0408,-0.29768495621921126,123,153
GPT-5.4,OpenAI,Large,Underground,1995,Underground (1995),B,-0.0417,-0.304251053334553,124,145
GPT-5.4,OpenAI,Large,Gravity,2013,Gravity (2013),C,-0.0429,-0.31300584948834204,125,145
GPT-5.4,OpenAI,Large,Terra em Transe,1967,Terra em Transe (1967),B,-0.0464,-0.33854067160355994,126,158
GPT-5.4,OpenAI,Large,A Bug's Life,1998,A Bug's Life (1998),C,-0.0504,-0.3677233254495234,127,142
GPT-5.4,OpenAI,Large,Rain Man,1988,Rain Man (1988),C,-0.0538,-0.3925285812185923,128,155
GPT-5.4,OpenAI,Large,In a Year with 13 Moons,1978,In a Year with 13 Moons (1978),B,-0.0555,-0.40493120910312674,129,165
GPT-5.4,OpenAI,Large,"Ivan the Terrible, Part II",1946,"Ivan the Terrible, Part II (1946)",B,-0.058,-0.4231703677568539,130,151
GPT-5.4,OpenAI,Large,Out 1,1971,Out 1 (1971),B,-0.0635,-0.46329651679505357,131,149
GPT-5.4,OpenAI,Large,Top Gun,1986,Top Gun (1986),C,-0.0644,-0.4698626139103953,132,146
GPT-5.4,OpenAI,Large,The Wolverine,2013,The Wolverine (2013),C,-0.0653,-0.47642871102573703,133,143
GPT-5.4,OpenAI,Large,Stromboli,1950,Stromboli (1950),B,-0.0674,-0.49174960429486786,134,156
GPT-5.4,OpenAI,Large,My Big Fat Greek Wedding,2002,My Big Fat Greek Wedding (2002),C,-0.0681,-0.4968565687179114,135,145
GPT-5.4,OpenAI,Large,Dead Poets Society,1989,Dead Poets Society (1989),A,-0.0749,-0.5464670802560492,136,157
GPT-5.4,OpenAI,Large,La Région centrale,1971,La Région centrale (1971),B,-0.0754,-0.5501149119867946,137,156
GPT-5.4,OpenAI,Large,"Black God, White Devil",1964,"Black God, White Devil (1964)",B,-0.0824,-0.6011845562172307,138,155
GPT-5.4,OpenAI,Large,"Hi, Mom",2021,"Hi, Mom (2021)",C,-0.0861,-0.6281785110247468,139,151
GPT-5.4,OpenAI,Large,Brave,2012,Brave (2012),C,-0.0984,-0.7179151716010843,140,155
GPT-5.4,OpenAI,Large,Bambi,1942,Bambi (1942),A,-0.1092,-0.7967083369851855,141,174
GPT-5.4,OpenAI,Large,Independence Day,1996,Independence Day (1996),C,-0.1098,-0.8010857350620799,142,157
GPT-5.4,OpenAI,Large,The Croods,2013,The Croods (2013),C,-0.1132,-0.8258909908311488,143,152
GPT-5.4,OpenAI,Large,Forrest Gump,1994,Forrest Gump (1994),A,-0.1144,-0.8346457869849379,144,177
GPT-5.4,OpenAI,Large,National Treasure,2004,National Treasure (2004),C,-0.1144,-0.8346457869849379,145,173
GPT-5.4,OpenAI,Large,The Bodyguard,1992,The Bodyguard (1992),C,-0.1199,-0.8747719360231376,146,168
GPT-5.4,OpenAI,Large,The Hour of the Furnaces,1968,The Hour of the Furnaces (1968),B,-0.1243,-0.9068728552536972,147,174
GPT-5.4,OpenAI,Large,Limite,1931,Limite (1931),B,-0.125,-0.9119798196767409,148,182
GPT-5.4,OpenAI,Large,Intolerance,1916,Intolerance (1916),B,-0.1322,-0.9645085965994751,149,183
GPT-5.4,OpenAI,Large,Titanic,1997,Titanic (1997),A,-0.1325,-0.9666972956379223,150,165
GPT-5.4,OpenAI,Large,Full River Red,2023,Full River Red (2023),C,-0.1327,-0.9681564283302205,151,163
GPT-5.4,OpenAI,Large,The Wandering Earth,2019,The Wandering Earth (2019),C,-0.1341,-0.9783703571763076,152,167
GPT-5.4,OpenAI,Large,The Puppetmaster,1993,The Puppetmaster (1993),B,-0.1349,-0.9842068879455003,153,159
GPT-5.4,OpenAI,Large,JFK,1991,JFK (1991),A,-0.1362,-0.9936912504454384,154,158
GPT-5.4,OpenAI,Large,Death in Venice,1971,Death in Venice (1971),B,-0.1368,-0.998068648522333,155,181
GPT-5.4,OpenAI,Large,The Matrix Reloaded,2003,The Matrix Reloaded (2003),C,-0.1384,-1.0097417100607182,156,180
GPT-5.4,OpenAI,Large,Armageddon,1998,Armageddon (1998),C,-0.1384,-1.0097417100607182,157,153
GPT-5.4,OpenAI,Large,Incredibles 2,2018,Incredibles 2 (2018),C,-0.1389,-1.0133895417914638,158,169
GPT-5.4,OpenAI,Large,American Beauty,1999,American Beauty (1999),A,-0.1395,-1.0177669398683584,159,157
GPT-5.4,OpenAI,Large,Ocean's Twelve,2004,Ocean's Twelve (2004),C,-0.1404,-1.0243330369837,160,156
GPT-5.4,OpenAI,Large,Joker,2019,Joker (2019),C,-0.1425,-1.0396539302528307,161,177
GPT-5.4,OpenAI,Large,The Eight Hundred,2020,The Eight Hundred (2020),C,-0.1427,-1.0411130629451288,162,160
GPT-5.4,OpenAI,Large,Penguins of Madagascar,2014,Penguins of Madagascar (2014),C,-0.1433,-1.0454904610220235,163,170
GPT-5.4,OpenAI,Large,Avatar,2009,Avatar (2009),A,-0.147,-1.0724844158295395,164,154
GPT-5.4,OpenAI,Large,Gone with the Wind,1939,Gone with the Wind (1939),A,-0.1528,-1.1147992639061866,165,164
GPT-5.4,OpenAI,Large,Mary Poppins Returns,2018,Mary Poppins Returns (2018),C,-0.1532,-1.1177175292907828,166,150
GPT-5.4,OpenAI,Large,Lucy,2014,Lucy (2014),C,-0.1537,-1.1213653610215284,167,177
GPT-5.4,OpenAI,Large,The Chronicles of Narnia: The Voyage of the Dawn Treader,2010,The Chronicles of Narnia: The Voyage of the Dawn Treader (2010),C,-0.1538,-1.1220949273676772,168,152
GPT-5.4,OpenAI,Large,"My People, My Homeland",2020,"My People, My Homeland (2020)",C,-0.1539,-1.1228244937138265,169,167
GPT-5.4,OpenAI,Large,Monster Hunt,2015,Monster Hunt (2015),C,-0.1544,-1.126472325444572,170,174
GPT-5.4,OpenAI,Large,Live Free or Die Hard,2007,Live Free or Die Hard (2007),C,-0.1549,-1.1301201571753174,171,189
GPT-5.4,OpenAI,Large,Planet of the Apes,2001,Planet of the Apes (2001),C,-0.1549,-1.1301201571753174,172,146
GPT-5.4,OpenAI,Large,The Golden Compass,2007,The Golden Compass (2007),C,-0.1555,-1.1344975552522119,173,152
GPT-5.4,OpenAI,Large,Beetlejuice Beetlejuice,2024,Beetlejuice Beetlejuice (2024),C,-0.1557,-1.13595668794451,174,171
GPT-5.4,OpenAI,Large,Alien: Romulus,2024,Alien: Romulus (2024),C,-0.1563,-1.1403340860214044,175,188
GPT-5.4,OpenAI,Large,Thunderbolts*,2025,Thunderbolts* (2025),C,-0.157,-1.145441050444448,176,159
GPT-5.4,OpenAI,Large,Snow White and the Huntsman,2012,Snow White and the Huntsman (2012),C,-0.1578,-1.1512775812136409,177,152
GPT-5.4,OpenAI,Large,Peter Rabbit,2018,Peter Rabbit (2018),C,-0.1581,-1.153466280252088,178,148
GPT-5.4,OpenAI,Large,The Secret Life of Pets,2016,The Secret Life of Pets (2016),C,-0.1597,-1.1651393417904734,179,139
GPT-5.4,OpenAI,Large,Sing,2016,Sing (2016),C,-0.1597,-1.1651393417904734,180,174
GPT-5.4,OpenAI,Large,The Grinch,2018,The Grinch (2018),C,-0.1598,-1.1658689081366225,181,137
GPT-5.4,OpenAI,Large,Uncharted,2022,Uncharted (2022),C,-0.1598,-1.1658689081366225,182,153
GPT-5.4,OpenAI,Large,The Passion of the Christ,2004,The Passion of the Christ (2004),C,-0.1604,-1.1702463062135169,183,154
GPT-5.4,OpenAI,Large,The Meg,2018,The Meg (2018),C,-0.1612,-1.1760828369827099,184,142
GPT-5.4,OpenAI,Large,Meet the Fockers,2004,Meet the Fockers (2004),C,-0.1616,-1.179001102367306,185,162
GPT-5.4,OpenAI,Large,2012,2009,2012 (2009),C,-0.1629,-1.188485464867244,186,146
GPT-5.4,OpenAI,Large,Superman Returns,2006,Superman Returns (2006),C,-0.1629,-1.188485464867244,187,149
GPT-5.4,OpenAI,Large,Noah,2014,Noah (2014),C,-0.1629,-1.188485464867244,188,153
GPT-5.4,OpenAI,Large,The Amazing Spider-Man 2,2014,The Amazing Spider-Man 2 (2014),C,-0.1644,-1.1994289600594803,189,150
GPT-5.4,OpenAI,Large,The Fantastic Four: First Steps,2025,The Fantastic Four: First Steps (2025),C,-0.1701,-1.2410142417899783,190,126
GPT-5.4,OpenAI,Large,X-Men Origins: Wolverine,2009,X-Men Origins: Wolverine (2009),C,-0.1701,-1.2410142417899783,191,134
GPT-5.4,OpenAI,Large,Cars 2,2011,Cars 2 (2011),C,-0.1775,-1.2950021514050105,192,144
GPT-5.4,OpenAI,Large,xXx: Return of Xander Cage,2017,xXx: Return of Xander Cage (2017),C,-0.1779,-1.297920416789607,193,137
GPT-5.4,OpenAI,Large,Hello Mr. Billionaire,2018,Hello Mr. Billionaire (2018),C,-0.178,-1.2986499831357559,194,134
GPT-5.4,OpenAI,Large,Die Another Day,2002,Die Another Day (2002),C,-0.1792,-1.307404779289545,195,147
GPT-5.4,OpenAI,Large,The Angry Birds Movie,2016,The Angry Birds Movie (2016),C,-0.1892,-1.3803614139044535,196,134
GPT-5.4,OpenAI,Large,The Hangover Part II,2011,The Hangover Part II (2011),C,-0.1897,-1.3840092456351991,197,149
GPT-5.4,OpenAI,Large,Ant-Man and the Wasp: Quantumania,2023,Ant-Man and the Wasp: Quantumania (2023),C,-0.2072,-1.5116833562112888,198,138
GPT-5.4,OpenAI,Large,Twenty Years Later,1984,Twenty Years Later (1984),B,-0.2158,-1.57442606198011,199,135
GPT-5.4,OpenAI,Large,Pegasus 2,2024,Pegasus 2 (2024),C,-0.2247,-1.639357466787379,200,138
GPT-5.4 Nano,OpenAI,Small,Portrait of a Lady on Fire,2019,Portrait of a Lady on Fire (2019),B,0.2785,2.0363305664431204,1,204
GPT-5.4 Nano,OpenAI,Small,The Dark Knight,2008,The Dark Knight (2008),A,0.2679,1.9588255655210467,2,273
GPT-5.4 Nano,OpenAI,Small,Parasite,2019,Parasite (2019),A,0.2665,1.948589055965301,3,172
GPT-5.4 Nano,OpenAI,Small,Sansho the Bailiff,1954,Sansho the Bailiff (1954),B,0.2658,1.943470801187428,4,235
GPT-5.4 Nano,OpenAI,Small,Spirited Away,2001,Spirited Away (2001),A,0.2638,1.9288472161077914,5,201
GPT-5.4 Nano,OpenAI,Small,Shoah,1985,Shoah (1985),B,0.2635,1.926653678345846,6,205
GPT-5.4 Nano,OpenAI,Small,Schindler's List,1993,Schindler's List (1993),A,0.2633,1.9251913198378823,7,178
GPT-5.4 Nano,OpenAI,Small,Toy Story,1995,Toy Story (1995),A,0.2627,1.9208042443139914,8,258
GPT-5.4 Nano,OpenAI,Small,The Empire Strikes Back,1980,The Empire Strikes Back (1980),A,0.2625,1.9193418858060278,9,226
GPT-5.4 Nano,OpenAI,Small,Beau Travail,1999,Beau Travail (1999),B,0.2621,1.9164171687901004,10,308
GPT-5.4 Nano,OpenAI,Small,The Godfather,1972,The Godfather (1972),A,0.2587,1.8915570741547183,11,205
GPT-5.4 Nano,OpenAI,Small,The Lord of the Rings: The Return of the King,2003,The Lord of the Rings: The Return of the King (2003),A,0.2573,1.8813205645989726,12,256
GPT-5.4 Nano,OpenAI,Small,Sans Soleil,1983,Sans Soleil (1983),B,0.2567,1.8769334890750817,13,262
GPT-5.4 Nano,OpenAI,Small,Mad Max: Fury Road,2015,Mad Max: Fury Road (2015),A,0.2566,1.8762023098210998,14,182
GPT-5.4 Nano,OpenAI,Small,Raiders of the Lost Ark,1981,Raiders of the Lost Ark (1981),A,0.2564,1.8747399513131364,15,293
GPT-5.4 Nano,OpenAI,Small,The Silence of the Lambs,1991,The Silence of the Lambs (1991),A,0.2543,1.8593851869795182,16,241
GPT-5.4 Nano,OpenAI,Small,Cinema Paradiso,1988,Cinema Paradiso (1988),B,0.2526,1.8469551396618267,17,334
GPT-5.4 Nano,OpenAI,Small,Amadeus,1984,Amadeus (1984),B,0.245,1.791385516359208,18,344
GPT-5.4 Nano,OpenAI,Small,WALL-E,2008,WALL-E (2008),A,0.2433,1.778955469041517,19,337
GPT-5.4 Nano,OpenAI,Small,The Lord of the Rings: The Fellowship of the Ring,2001,The Lord of the Rings: The Fellowship of the Ring (2001),A,0.2362,1.7270417420088073,20,363
GPT-5.4 Nano,OpenAI,Small,Pather Panchali,1955,Pather Panchali (1955),B,0.2356,1.7226546664849163,21,227
GPT-5.4 Nano,OpenAI,Small,Get Out,2017,Get Out (2017),A,0.2325,1.6999881096114797,22,306
GPT-5.4 Nano,OpenAI,Small,Persona,1966,Persona (1966),B,0.227,1.6597732506424792,23,328
GPT-5.4 Nano,OpenAI,Small,Once Upon a Time in the West,1968,Once Upon a Time in the West (1968),B,0.2245,1.6414937692929334,24,347
GPT-5.4 Nano,OpenAI,Small,Pulp Fiction,1994,Pulp Fiction (1994),A,0.2218,1.6217519294354241,25,268
GPT-5.4 Nano,OpenAI,Small,"Crouching Tiger, Hidden Dragon",2000,"Crouching Tiger, Hidden Dragon (2000)",A,0.2211,1.6166336746575511,26,357
GPT-5.4 Nano,OpenAI,Small,American Beauty,1999,American Beauty (1999),A,0.2177,1.5917735800221693,27,332
GPT-5.4 Nano,OpenAI,Small,Saving Private Ryan,1998,Saving Private Ryan (1998),A,0.1878,1.3731509830816027,28,301
GPT-5.4 Nano,OpenAI,Small,Yojimbo,1961,Yojimbo (1961),B,0.1872,1.3687639075577118,29,338
GPT-5.4 Nano,OpenAI,Small,Terminator 2: Judgment Day,1991,Terminator 2: Judgment Day (1991),A,0.1847,1.3504844262081661,30,320
GPT-5.4 Nano,OpenAI,Small,Oldboy,2003,Oldboy (2003),B,0.1811,1.3241619730648202,31,337
GPT-5.4 Nano,OpenAI,Small,Ratatouille,2007,Ratatouille (2007),C,0.1795,1.3124631050011109,32,306
GPT-5.4 Nano,OpenAI,Small,"Monsters, Inc.",2001,"Monsters, Inc. (2001)",C,0.1764,1.2897965481276743,33,427
GPT-5.4 Nano,OpenAI,Small,A Brighter Summer Day,1991,A Brighter Summer Day (1991),B,0.1696,1.24007635885691,34,308
GPT-5.4 Nano,OpenAI,Small,Woman in the Dunes,1964,Woman in the Dunes (1964),B,0.1653,1.2086356509356915,35,348
GPT-5.4 Nano,OpenAI,Small,Back to the Future,1985,Back to the Future (1985),A,0.154,1.1260123952357448,36,293
GPT-5.4 Nano,OpenAI,Small,High and Low,1963,High and Low (1963),B,0.1531,1.1194317819499084,37,298
GPT-5.4 Nano,OpenAI,Small,Koyaanisqatsi,1982,Koyaanisqatsi (1982),B,0.1444,1.0558191868534894,38,344
GPT-5.4 Nano,OpenAI,Small,Reservoir Dogs,1992,Reservoir Dogs (1992),B,0.1368,1.0002495635508706,39,325
GPT-5.4 Nano,OpenAI,Small,A Clockwork Orange,1971,A Clockwork Orange (1971),B,0.1296,0.9476046572641789,40,281
GPT-5.4 Nano,OpenAI,Small,Se7en,1995,Se7en (1995),A,0.1274,0.9315187136765788,41,305
GPT-5.4 Nano,OpenAI,Small,Your Name.,2016,Your Name. (2016),C,0.1222,0.8934973924695236,42,292
GPT-5.4 Nano,OpenAI,Small,Inside Out,2015,Inside Out (2015),C,0.1118,0.8174547500554135,43,301
GPT-5.4 Nano,OpenAI,Small,Raise the Red Lantern,1991,Raise the Red Lantern (1991),B,0.1094,0.7999064479598496,44,286
GPT-5.4 Nano,OpenAI,Small,Blade Runner,1982,Blade Runner (1982),B,0.1047,0.7655410230227038,45,261
GPT-5.4 Nano,OpenAI,Small,Pyaasa,1957,Pyaasa (1957),B,0.1003,0.7333691358475033,46,338
GPT-5.4 Nano,OpenAI,Small,Jurassic Park,1993,Jurassic Park (1993),A,0.0891,0.6514770594015385,47,356
GPT-5.4 Nano,OpenAI,Small,Oppenheimer,2023,Oppenheimer (2023),C,0.0832,0.6083374834166108,48,355
GPT-5.4 Nano,OpenAI,Small,E.T. The Extra-Terrestrial,1982,E.T. The Extra-Terrestrial (1982),A,0.0731,0.5344883787644461,49,318
